sku,label,label_id,r_j,p_vigente,p_en_riesgo,p_obsoleto,label_pred,correct
v1|254224015967|553615546453,OBSOLETO,2,0.063289,0.034531,0.90218,0.063289,EN_RIESGO,0
133734234,EN_RIESGO,1,0.036361,0.037582,0.926056,0.036361,EN_RIESGO,1
155296707,VIGENTE,0,0.000309,0.999501,0.00019,0.000309,VIGENTE,1
145910398,EN_RIESGO,1,0.398803,0.220841,0.380357,0.398803,OBSOLETO,0
v1|254224015967|553615546453,OBSOLETO,2,0.063289,0.034531,0.90218,0.063289,EN_RIESGO,0
20001544186,OBSOLETO,2,0.98071,0.011892,0.007398,0.98071,OBSOLETO,1
152177318,OBSOLETO,2,0.99626,0.001921,0.001819,0.99626,OBSOLETO,1
155252274,VIGENTE,0,0.014559,0.977547,0.007894,0.014559,VIGENTE,1
v1|284338406755|0,OBSOLETO,2,0.911312,0.046123,0.042565,0.911312,OBSOLETO,1
B0DM4SRF7K,EN_RIESGO,1,0.016352,0.008022,0.975626,0.016352,EN_RIESGO,1
154327385,VIGENTE,0,0.000907,0.998395,0.000697,0.000907,VIGENTE,1
v1|405119030958|0,EN_RIESGO,1,0.001203,7.3e-05,0.998724,0.001203,EN_RIESGO,1
3256807017580180,OBSOLETO,2,0.98836,0.006882,0.004758,0.98836,OBSOLETO,1
144651951,VIGENTE,0,0.004865,0.99218,0.002955,0.004865,VIGENTE,1
,EN_RIESGO,1,0.050229,0.006638,0.943133,0.050229,EN_RIESGO,1
145499559,OBSOLETO,2,0.992845,0.004429,0.002726,0.992845,OBSOLETO,1
140685392,OBSOLETO,2,0.918401,0.00958,0.072019,0.918401,OBSOLETO,1
B0DXK2M53G,EN_RIESGO,1,0.126899,0.803869,0.069232,0.126899,VIGENTE,0
151760767,VIGENTE,0,0.000927,0.998465,0.000607,0.000927,VIGENTE,1
v1|136963064137|0,EN_RIESGO,1,0.002076,0.000131,0.997793,0.002076,EN_RIESGO,1
154122345,VIGENTE,0,0.001099,0.998281,0.00062,0.001099,VIGENTE,1
B0FBMB9374,EN_RIESGO,1,0.197464,0.153751,0.648785,0.197464,EN_RIESGO,1
154329523,VIGENTE,0,0.004252,0.99535,0.000398,0.004252,VIGENTE,1
151841718,VIGENTE,0,0.000198,0.999678,0.000124,0.000198,VIGENTE,1
151092634,VIGENTE,0,0.423607,0.512113,0.06428,0.423607,VIGENTE,1
B0GRCGJSJT,EN_RIESGO,1,0.945325,0.031504,0.023171,0.945325,OBSOLETO,0
v1|406207521757|0,EN_RIESGO,1,0.00646,0.000408,0.993132,0.00646,EN_RIESGO,1
3256808799078515,EN_RIESGO,1,0.958103,0.024552,0.017345,0.958103,OBSOLETO,0
154329482,VIGENTE,0,0.839554,0.157129,0.003317,0.839554,OBSOLETO,0
154803072,VIGENTE,0,0.903127,0.056599,0.040274,0.903127,OBSOLETO,0
153160748,OBSOLETO,2,1.0,0.0,0.0,1.0,OBSOLETO,1
155092667,OBSOLETO,2,0.952989,0.027075,0.019936,0.952989,OBSOLETO,1
B0F32GFKW4,EN_RIESGO,1,0.3659,0.427018,0.207082,0.3659,VIGENTE,0
3256807921006838,OBSOLETO,2,0.997011,0.001867,0.001122,0.997011,OBSOLETO,1
v1|398158584681|0,OBSOLETO,2,0.030614,0.0047,0.964687,0.030614,EN_RIESGO,0
3256809753186026,OBSOLETO,2,0.999706,0.000186,0.000108,0.999706,OBSOLETO,1
v1|336668121467|0,VIGENTE,0,0.105879,0.154853,0.739268,0.105879,EN_RIESGO,0
145798008,EN_RIESGO,1,0.431602,0.303258,0.26514,0.431602,OBSOLETO,0
,EN_RIESGO,1,0.003252,0.00037,0.996378,0.003252,EN_RIESGO,1
155000915,VIGENTE,0,0.006859,0.989083,0.004058,0.006859,VIGENTE,1
154602481,EN_RIESGO,1,0.499412,0.256849,0.243739,0.499412,OBSOLETO,0
151971401,EN_RIESGO,1,0.98748,0.003932,0.008589,0.98748,OBSOLETO,0
v1|224404817504|523189980862,OBSOLETO,2,0.022777,0.007455,0.969769,0.022777,EN_RIESGO,0
149164781,OBSOLETO,2,0.995661,0.002373,0.001966,0.995661,OBSOLETO,1
B0D54QJ9CJ,EN_RIESGO,1,0.001768,0.000543,0.997689,0.001768,EN_RIESGO,1
v1|254219753793|553607618438,OBSOLETO,2,0.011113,0.002362,0.986524,0.011113,EN_RIESGO,0
B0H73JM3MM,EN_RIESGO,1,0.018823,0.014775,0.966402,0.018823,EN_RIESGO,1
v1|396723951897|0,EN_RIESGO,1,0.024662,0.003049,0.972289,0.024662,EN_RIESGO,1
153376002,EN_RIESGO,1,0.991889,0.00553,0.002581,0.991889,OBSOLETO,0
154751672,EN_RIESGO,1,0.997737,0.001435,0.000828,0.997737,OBSOLETO,0
v1|352657142436|622002625078,OBSOLETO,2,0.073902,0.041949,0.884149,0.073902,EN_RIESGO,0
20001357284,OBSOLETO,2,0.939226,0.042627,0.018147,0.939226,OBSOLETO,1
2251832746278170,OBSOLETO,2,0.139054,0.061,0.799946,0.139054,EN_RIESGO,0
151841718,VIGENTE,0,0.00475,0.99308,0.00217,0.00475,VIGENTE,1
v1|327018523485|0,OBSOLETO,2,0.07618,0.027574,0.896246,0.07618,EN_RIESGO,0
3256809743607667,OBSOLETO,2,0.999889,7.4e-05,3.8e-05,0.999889,OBSOLETO,1
142771744,VIGENTE,0,0.060288,0.839701,0.100011,0.060288,VIGENTE,1
B07S4MSXJL,OBSOLETO,2,0.969133,0.016609,0.014258,0.969133,OBSOLETO,1
v1|336571867174|0,EN_RIESGO,1,0.005614,0.000585,0.993801,0.005614,EN_RIESGO,1
,EN_RIESGO,1,0.002227,0.000287,0.997486,0.002227,EN_RIESGO,1
152083482,VIGENTE,0,0.461575,0.483334,0.055091,0.461575,VIGENTE,1
3256809724801524,EN_RIESGO,1,0.026523,0.936456,0.037021,0.026523,VIGENTE,0
152116043,EN_RIESGO,1,0.280265,0.557164,0.162572,0.280265,VIGENTE,0
v1|377218238344|0,VIGENTE,0,0.000716,0.998726,0.000558,0.000716,VIGENTE,1
152004751,VIGENTE,0,0.000244,0.999596,0.00016,0.000244,VIGENTE,1
140159553,OBSOLETO,2,0.297162,0.641959,0.060879,0.297162,VIGENTE,0
B0GLPHH6JD,OBSOLETO,2,0.218494,0.072542,0.708964,0.218494,EN_RIESGO,0
,OBSOLETO,2,0.997187,0.001423,0.001389,0.997187,OBSOLETO,1
152004543,VIGENTE,0,0.001256,0.997962,0.000782,0.001256,VIGENTE,1
121609851,EN_RIESGO,1,0.03858,0.048639,0.912781,0.03858,EN_RIESGO,1
,OBSOLETO,2,0.998966,0.000626,0.000409,0.998966,OBSOLETO,1
v1|376704567287|0,EN_RIESGO,1,0.001228,0.000113,0.998659,0.001228,EN_RIESGO,1
151996321,VIGENTE,0,0.004433,0.993139,0.002428,0.004433,VIGENTE,1
154595215,VIGENTE,0,0.069517,0.872885,0.057598,0.069517,VIGENTE,1
145673336,OBSOLETO,2,0.994602,0.002735,0.002662,0.994602,OBSOLETO,1
B0DKLHDQNS,VIGENTE,0,0.001342,0.997815,0.000843,0.001342,VIGENTE,1
154379353,OBSOLETO,2,0.74077,0.16323,0.096,0.74077,OBSOLETO,1
147766349,VIGENTE,0,0.001143,0.998276,0.00058,0.001143,VIGENTE,1
152138812,OBSOLETO,2,0.804012,0.025102,0.170885,0.804012,OBSOLETO,1
153226538,VIGENTE,0,0.006998,0.987384,0.005618,0.006998,VIGENTE,1
154952734,VIGENTE,0,0.001305,0.997816,0.000879,0.001305,VIGENTE,1
142142968,OBSOLETO,2,0.999865,9.3e-05,4.2e-05,0.999865,OBSOLETO,1
153277721,VIGENTE,0,0.004631,0.992114,0.003255,0.004631,VIGENTE,1
B07HHN6KBZ,OBSOLETO,2,0.862893,0.077205,0.059902,0.862893,OBSOLETO,1
154751672,EN_RIESGO,1,0.999021,0.000628,0.000351,0.999021,OBSOLETO,0
v1|167004388980|0,VIGENTE,0,0.001398,0.997246,0.001356,0.001398,VIGENTE,1
,OBSOLETO,2,0.999884,7.9e-05,3.6e-05,0.999884,OBSOLETO,1
154799346,VIGENTE,0,0.004403,0.993235,0.002363,0.004403,VIGENTE,1
152843263,VIGENTE,0,0.00103,0.998182,0.000789,0.00103,VIGENTE,1
151971504,EN_RIESGO,1,0.112131,0.03693,0.850938,0.112131,EN_RIESGO,1
v1|318609211069|0,OBSOLETO,2,0.47916,0.114303,0.406537,0.47916,OBSOLETO,1
126618856,EN_RIESGO,1,0.6765,0.153527,0.169973,0.6765,OBSOLETO,0
152178089,OBSOLETO,2,0.253802,0.06098,0.685218,0.253802,EN_RIESGO,0
152116052,EN_RIESGO,1,0.994543,0.003386,0.002071,0.994543,OBSOLETO,0
v1|158042337319|0,EN_RIESGO,1,0.000255,1.4e-05,0.99973,0.000255,EN_RIESGO,1
144296485,VIGENTE,0,0.047359,0.807477,0.145164,0.047359,VIGENTE,1
B0DBR3DZWG,EN_RIESGO,1,0.797029,0.101672,0.1013,0.797029,OBSOLETO,0
B0BLJGW838,EN_RIESGO,1,0.0141,0.005686,0.980213,0.0141,EN_RIESGO,1
153727776,VIGENTE,0,0.000498,0.999153,0.000349,0.000498,VIGENTE,1
154898853,EN_RIESGO,1,0.008903,0.002719,0.988378,0.008903,EN_RIESGO,1
153226277,VIGENTE,0,0.0022,0.995957,0.001843,0.0022,VIGENTE,1
152004751,VIGENTE,0,0.000227,0.999647,0.000127,0.000227,VIGENTE,1
,OBSOLETO,2,0.043714,0.016765,0.939521,0.043714,EN_RIESGO,0
v1|167004388980|0,VIGENTE,0,0.001398,0.997246,0.001356,0.001398,VIGENTE,1
v1|153469962880|453428440428,OBSOLETO,2,0.012382,0.003495,0.984123,0.012382,EN_RIESGO,0
3256807031149042,OBSOLETO,2,0.99809,0.001168,0.000742,0.99809,OBSOLETO,1
v1|376705461064|0,EN_RIESGO,1,0.003687,0.001123,0.99519,0.003687,EN_RIESGO,1
v1|284338406755|0,OBSOLETO,2,0.911312,0.046123,0.042565,0.911312,OBSOLETO,1
152914315,EN_RIESGO,1,0.872983,0.084768,0.042249,0.872983,OBSOLETO,0
142797312,EN_RIESGO,1,0.990215,0.005913,0.003872,0.990215,OBSOLETO,0
151512444,EN_RIESGO,1,0.567116,0.062776,0.370107,0.567116,OBSOLETO,0
,OBSOLETO,2,0.362088,0.009201,0.628712,0.362088,EN_RIESGO,0
v1|227324307541|0,EN_RIESGO,1,0.002093,0.000113,0.997794,0.002093,EN_RIESGO,1
152455121,VIGENTE,0,0.00136,0.997905,0.000736,0.00136,VIGENTE,1
B0DC1WB2RM,EN_RIESGO,1,0.037778,0.026343,0.93588,0.037778,EN_RIESGO,1
128851165,OBSOLETO,2,0.997996,0.001087,0.000917,0.997996,OBSOLETO,1
133734184,EN_RIESGO,1,0.058136,0.078213,0.863651,0.058136,EN_RIESGO,1
142854435,OBSOLETO,2,0.029941,0.009565,0.960494,0.029941,EN_RIESGO,0
144381399,OBSOLETO,2,0.994507,0.003481,0.002012,0.994507,OBSOLETO,1
B0CX1GPFW4,EN_RIESGO,1,0.005514,0.002274,0.992211,0.005514,EN_RIESGO,1
155530125,EN_RIESGO,1,0.072058,0.115807,0.812134,0.072058,EN_RIESGO,1
152517034,VIGENTE,0,0.041637,0.953537,0.004826,0.041637,VIGENTE,1
155118846,EN_RIESGO,1,0.669234,0.25723,0.073536,0.669234,OBSOLETO,0
152298139,OBSOLETO,2,0.284897,0.055896,0.659207,0.284897,EN_RIESGO,0
B07MMD4DDJ,OBSOLETO,2,0.020823,0.012427,0.96675,0.020823,EN_RIESGO,0
154918316,EN_RIESGO,1,0.12323,0.087381,0.789389,0.12323,EN_RIESGO,1
142147243,OBSOLETO,2,0.999451,0.000363,0.000186,0.999451,OBSOLETO,1
154677500,VIGENTE,0,0.000927,0.998554,0.000519,0.000927,VIGENTE,1
152189901,VIGENTE,0,0.011928,0.986256,0.001815,0.011928,VIGENTE,1
v1|254219753793|553607618438,OBSOLETO,2,0.011113,0.002362,0.986524,0.011113,EN_RIESGO,0
153728388,VIGENTE,0,0.000373,0.999361,0.000266,0.000373,VIGENTE,1
v1|286680045951|0,EN_RIESGO,1,0.041121,0.014117,0.944762,0.041121,EN_RIESGO,1
,EN_RIESGO,1,0.023804,0.002315,0.973881,0.023804,EN_RIESGO,1
v1|127902107224|0,OBSOLETO,2,0.114132,0.085969,0.799899,0.114132,EN_RIESGO,0
20001536492,OBSOLETO,2,0.999398,0.000403,0.000199,0.999398,OBSOLETO,1
135575752,EN_RIESGO,1,0.835867,0.085005,0.079128,0.835867,OBSOLETO,0
B0DJ1D4GTY,EN_RIESGO,1,0.263937,0.174258,0.561805,0.263937,EN_RIESGO,1
v1|177065851211|0,EN_RIESGO,1,0.003252,0.00037,0.996378,0.003252,EN_RIESGO,1
115466432,OBSOLETO,2,0.986971,0.004822,0.008207,0.986971,OBSOLETO,1
,OBSOLETO,2,0.07618,0.027574,0.896246,0.07618,EN_RIESGO,0
154329482,VIGENTE,0,0.402011,0.594147,0.003842,0.402011,VIGENTE,1
B0DJ1D4GTY,EN_RIESGO,1,0.272338,0.185826,0.541837,0.272338,EN_RIESGO,1
154677500,VIGENTE,0,0.000583,0.999168,0.000249,0.000583,VIGENTE,1
v1|254224015967|553615546453,OBSOLETO,2,0.013774,0.004046,0.98218,0.013774,EN_RIESGO,0
,OBSOLETO,2,0.018488,0.004658,0.976854,0.018488,EN_RIESGO,0
151367896,EN_RIESGO,1,0.029423,0.042636,0.92794,0.029423,EN_RIESGO,1
154488531,EN_RIESGO,1,0.996959,0.00238,0.000662,0.996959,OBSOLETO,0
153540972,OBSOLETO,2,0.995373,0.002901,0.001726,0.995373,OBSOLETO,1
B0D9YBN4L5,EN_RIESGO,1,0.557314,0.422243,0.020444,0.557314,OBSOLETO,0
v1|146753130552|445373540695,OBSOLETO,2,0.026632,0.00506,0.968307,0.026632,EN_RIESGO,0
,OBSOLETO,2,0.458263,0.33691,0.204827,0.458263,OBSOLETO,1
v1|377256752129|0,EN_RIESGO,1,0.002276,0.000254,0.99747,0.002276,EN_RIESGO,1
B0H2GC62FR,VIGENTE,0,0.001729,0.996987,0.001284,0.001729,VIGENTE,1
v1|267536647731|0,EN_RIESGO,1,0.00835,0.000865,0.990785,0.00835,EN_RIESGO,1
v1|306438353997|0,OBSOLETO,2,0.718449,0.078628,0.202924,0.718449,OBSOLETO,1
,OBSOLETO,2,0.666971,0.01283,0.3202,0.666971,OBSOLETO,1
v1|116585500403|0,EN_RIESGO,1,0.010529,0.000909,0.988562,0.010529,EN_RIESGO,1
152116043,EN_RIESGO,1,0.131702,0.764412,0.103887,0.131702,VIGENTE,0
B0GR4PWM41,VIGENTE,0,0.005696,0.989841,0.004463,0.005696,VIGENTE,1
v1|267720775425|0,OBSOLETO,2,0.043705,0.017633,0.938662,0.043705,EN_RIESGO,0
,OBSOLETO,2,0.993866,0.003849,0.002285,0.993866,OBSOLETO,1
v1|287441960418|0,VIGENTE,0,0.000513,0.999123,0.000364,0.000513,VIGENTE,1
149120066,VIGENTE,0,0.01323,0.984308,0.002463,0.01323,VIGENTE,1
144589080,OBSOLETO,2,0.981299,0.009882,0.008819,0.981299,OBSOLETO,1
151129212,VIGENTE,0,0.019138,0.968846,0.012015,0.019138,VIGENTE,1
153151149,EN_RIESGO,1,0.494691,0.39827,0.107038,0.494691,OBSOLETO,0
v1|236374482032|0,EN_RIESGO,1,0.017845,0.002564,0.979591,0.017845,EN_RIESGO,1
v1|397000156754|0,EN_RIESGO,1,0.012572,0.002373,0.985054,0.012572,EN_RIESGO,1
B0F928KVJ6,VIGENTE,0,0.002768,0.996322,0.00091,0.002768,VIGENTE,1
v1|168250169745|0,VIGENTE,0,0.014258,0.977083,0.008659,0.014258,VIGENTE,1
v1|398158584681|0,OBSOLETO,2,0.030614,0.0047,0.964687,0.030614,EN_RIESGO,0
v1|254224015967|553615546453,OBSOLETO,2,0.013774,0.004046,0.98218,0.013774,EN_RIESGO,0
v1|358630184347|0,VIGENTE,0,0.001597,0.996964,0.00144,0.001597,VIGENTE,1
155551685,VIGENTE,0,0.003005,0.994507,0.002487,0.003005,VIGENTE,1
152966565,VIGENTE,0,0.022419,0.961733,0.015848,0.022419,VIGENTE,1
v1|298510050801|0,VIGENTE,0,0.023311,0.961543,0.015146,0.023311,VIGENTE,1
142687863,VIGENTE,0,0.003911,0.994121,0.001967,0.003911,VIGENTE,1
v1|227415119277|0,OBSOLETO,2,0.805429,0.079702,0.114869,0.805429,OBSOLETO,1
2251832489330523,OBSOLETO,2,0.983094,0.006937,0.009969,0.983094,OBSOLETO,1
152911953,EN_RIESGO,1,0.991901,0.005127,0.002972,0.991901,OBSOLETO,0
v1|327018523485|0,OBSOLETO,2,0.07618,0.027574,0.896246,0.07618,EN_RIESGO,0
154799342,EN_RIESGO,1,0.094079,0.037998,0.867923,0.094079,EN_RIESGO,1
,OBSOLETO,2,0.344804,0.016713,0.638483,0.344804,EN_RIESGO,0
148597259,VIGENTE,0,0.173079,0.261642,0.565279,0.173079,EN_RIESGO,0
155296707,VIGENTE,0,0.00049,0.999179,0.000331,0.00049,VIGENTE,1
v1|358615569433|0,EN_RIESGO,1,0.008679,0.000886,0.990435,0.008679,EN_RIESGO,1
152118334,VIGENTE,0,0.000142,0.999753,0.000105,0.000142,VIGENTE,1
v1|146753130552|445373540695,OBSOLETO,2,0.036527,0.006214,0.957259,0.036527,EN_RIESGO,0
v1|397682449549|0,EN_RIESGO,1,0.009022,0.003489,0.987489,0.009022,EN_RIESGO,1
154977423,VIGENTE,0,0.009099,0.987409,0.003492,0.009099,VIGENTE,1
154680085,VIGENTE,0,0.000848,0.99858,0.000572,0.000848,VIGENTE,1
117047180,EN_RIESGO,1,0.285341,0.28002,0.434639,0.285341,EN_RIESGO,1
153277450,VIGENTE,0,0.00782,0.98663,0.00555,0.00782,VIGENTE,1
154952734,VIGENTE,0,0.005832,0.99083,0.003338,0.005832,VIGENTE,1
,EN_RIESGO,1,0.002501,6.5e-05,0.997434,0.002501,EN_RIESGO,1
153277450,VIGENTE,0,0.008019,0.985262,0.00672,0.008019,VIGENTE,1
155403213,VIGENTE,0,0.003555,0.993291,0.003154,0.003555,VIGENTE,1
B0FD7HZSSY,EN_RIESGO,1,0.029605,0.014681,0.955714,0.029605,EN_RIESGO,1
152190011,VIGENTE,0,0.311329,0.592386,0.096285,0.311329,VIGENTE,1
155296707,VIGENTE,0,0.000341,0.999442,0.000217,0.000341,VIGENTE,1
,EN_RIESGO,1,0.133191,0.082131,0.784678,0.133191,EN_RIESGO,1
B0DPFCNKTC,VIGENTE,0,0.01594,0.981571,0.002489,0.01594,VIGENTE,1
145673336,OBSOLETO,2,0.994602,0.002735,0.002662,0.994602,OBSOLETO,1
150559519,EN_RIESGO,1,0.760886,0.133934,0.10518,0.760886,OBSOLETO,0
20001461360,OBSOLETO,2,0.970343,0.017554,0.012103,0.970343,OBSOLETO,1
150684983,EN_RIESGO,1,0.011804,0.01722,0.970976,0.011804,EN_RIESGO,1
152217120,EN_RIESGO,1,0.126947,0.150294,0.722759,0.126947,EN_RIESGO,1
,OBSOLETO,2,0.999284,0.00044,0.000276,0.999284,OBSOLETO,1
139947752,OBSOLETO,2,0.988922,0.007091,0.003987,0.988922,OBSOLETO,1
124226905,OBSOLETO,2,0.523395,0.315534,0.16107,0.523395,OBSOLETO,1
B0F6L8D8KB,EN_RIESGO,1,0.049773,0.020342,0.929885,0.049773,EN_RIESGO,1
B07JQ3638R,OBSOLETO,2,0.079421,0.04452,0.876059,0.079421,EN_RIESGO,0
154488531,EN_RIESGO,1,0.99137,0.005421,0.003209,0.99137,OBSOLETO,0
