sku,texto,label,label_id,confianza,razon,title_repr,brand_repr,category_repr,n_obs,price_usd_mean,price_trend_pct,discount_mean,pct_used,main_source,sources
v1|147221995265|0,ASUS TUF Gaming 850W Modular ATX 3.1 80 Plus Gold Power Supply Unit | condicion usado: 100% | observaciones: 10,OBSOLETO,2,0.5,obsoleto,ASUS TUF Gaming 850W Modular ATX 3.1 80 Plus Gold Power Supply Unit,,,10,80.0,0.0,,1.0,ebay_usa,ebay_usa
v1|358706337454|0,GIGABYTE B650 EAGLE AX AM5 ATX DDR5 Wi-Fi Gaming Motherboard PCIe 5.0 M.2 | condicion usado: 100% | observaciones: 10,VIGENTE,0,1.0,vigente_usado_protegido,GIGABYTE B650 EAGLE AX AM5 ATX DDR5 Wi-Fi Gaming Motherboard PCIe 5.0 M.2,,,10,95.0,0.0,,1.0,ebay_usa,ebay_usa
v1|206379816723|0,MSI Cyborg 15 A12VF-859JP Gaming Laptop Intel i7-12650H RTX4060 32GB DDR5 | precio bajando: 2.6% | condicion usado: 100% | observaciones: 10,EN_RIESGO,1,1.0,en_riesgo_usado_protegido,MSI Cyborg 15 A12VF-859JP Gaming Laptop Intel i7-12650H RTX4060 32GB DDR5,,,10,1658.1150000000002,-2.56,,1.0,ebay_usa,ebay_usa
v1|168378748083|0,"ASUS Z790 MAX GAMING WIFI7 Intel Z790 (LGA 1700) ATX motherboard with PCIe 5.0, | observaciones: 4",VIGENTE,0,1.0,vigente,"ASUS Z790 MAX GAMING WIFI7 Intel Z790 (LGA 1700) ATX motherboard with PCIe 5.0,",,,4,266.66,0.0,,0.0,ebay_usa,ebay_usa
v1|144322774863|0,EVGA 850 GQ 80+ GOLD 850W Semi Modular Power Supply - 210-GQ-0850-V1 | condicion usado: 100% | observaciones: 10,OBSOLETO,2,0.5,obsoleto,EVGA 850 GQ 80+ GOLD 850W Semi Modular Power Supply - 210-GQ-0850-V1,,,10,60.0,0.0,,1.0,ebay_usa,ebay_usa
v1|127781962347|0,GIGABYTE B650 EAGLE AX AM5 [OPEN BOX - NEVER USED] | condicion usado: 100% | observaciones: 10,OBSOLETO,2,0.5,obsoleto,GIGABYTE B650 EAGLE AX AM5 [OPEN BOX - NEVER USED],,,10,130.0,0.0,,1.0,ebay_usa,ebay_usa
152004771,"Tarjeta de video GeForce RTX 5060 8G GAMING OC, 8 GB GDDR7, PCIe 5.0 | descuento promedio: 1.4% | precio bajando: 13.2% | marca: msi | categoria: TARJETAS_VIDEO | observaciones: 9",VIGENTE,0,1.0,vigente,"Tarjeta de video GeForce RTX 5060 8G GAMING OC, 8 GB GDDR7, PCIe 5.0",Msi,tarjetas_video,9,622.1157142857144,-13.25,1.4444444444444444,0.0,falabella_pe,falabella_pe
v1|147450017696|0,ASUS TUF GAMING X870-PLUS WIFI ATX Motherboard AMD AM5 DDR5 PCIe 5.0 Wi-Fi 7 NEW | observaciones: 3,VIGENTE,0,1.0,vigente,ASUS TUF GAMING X870-PLUS WIFI ATX Motherboard AMD AM5 DDR5 PCIe 5.0 Wi-Fi 7 NEW,,,3,234.99,0.0,,0.0,ebay_usa,ebay_usa
v1|377306923038|0,"MSI MPG X870E Carbon WiFi Gaming Motherboard (AM5, DDR5, Wi-Fi 7, ATX) | precio bajando: 5.0% | condicion usado: 100% | observaciones: 7",VIGENTE,0,1.0,vigente_usado_protegido,"MSI MPG X870E Carbon WiFi Gaming Motherboard (AM5, DDR5, Wi-Fi 7, ATX)",,,7,268.0214285714286,-5.0,,1.0,ebay_usa,ebay_usa
v1|236931821063|0,"LG Gram 15.6 Ultra-Light Laptop, Intel Core i7, 16GB, 512GB SSD Windows 11 Home | precio bajando: 23.1% | condicion usado: 100% | observaciones: 7",OBSOLETO,2,0.833,obsoleto,"LG Gram 15.6 Ultra-Light Laptop, Intel Core i7, 16GB, 512GB SSD Windows 11 Home",,,7,607.14,-23.08,,1.0,ebay_usa,ebay_usa
144368629,"Procesador Core I7-14700Kf 3.4/5.6Ghz, 33Mb Caché, Lga1700, Alto Rendimiento 125W/25 | marca: intel | categoria: CPU | observaciones: 6",EN_RIESGO,1,0.667,en_riesgo,"Procesador Core I7-14700Kf 3.4/5.6Ghz, 33Mb Caché, Lga1700, Alto Rendimiento 125W/25",INTEL,CPU,6,687.3433333333334,,33.333333333333336,0.0,falabella_pe,falabella_pe
v1|157598460942|0,EVGA 850 GA Supernova 220-GA-0850 80 Plus GOLD Modular Power Supply | condicion usado: 100% | observaciones: 10,OBSOLETO,2,0.5,obsoleto,EVGA 850 GA Supernova 220-GA-0850 80 Plus GOLD Modular Power Supply,,,10,54.075,0.0,,1.0,ebay_usa,ebay_usa
v1|127978374736|0,be quiet! Pure Power 13 M 850W 80 Plus Gold ATX Power Supply | condicion usado: 100% | observaciones: 7,OBSOLETO,2,0.5,obsoleto,be quiet! Pure Power 13 M 850W 80 Plus Gold ATX Power Supply,,,7,84.99,0.0,,1.0,ebay_usa,ebay_usa
v1|298422625423|0,VLP 32GB (1x32GB) PC4-19200T 2Rx4 RDIMM 2400MHZ DDR4 SERVER M392AK50BM0-CRC0Y | precio bajando: 10.0% | condicion usado: 100% | observaciones: 10,EN_RIESGO,1,0.833,en_riesgo_usado_protegido,VLP 32GB (1x32GB) PC4-19200T 2Rx4 RDIMM 2400MHZ DDR4 SERVER M392AK50BM0-CRC0Y,,,10,98.0,-10.0,,1.0,ebay_usa,ebay_usa
v1|147440972809|0,ASUS ROG STRIX B650-A GAMING WIFI AM5 DDR5 Motherboard - PCIe 5.0 WiFi 6E 2.5Gb | condicion usado: 100% | observaciones: 7,VIGENTE,0,1.0,vigente_usado_protegido,ASUS ROG STRIX B650-A GAMING WIFI AM5 DDR5 Motherboard - PCIe 5.0 WiFi 6E 2.5Gb,,,7,99.99,0.0,,1.0,ebay_usa,ebay_usa
v1|206401051699|0,MSI PRO Z790-P WIFI Motherboard Intel LGA1700 DDR5 Support PC Build Tested | precio bajando: 20.0% | condicion usado: 100% | observaciones: 10,EN_RIESGO,1,0.833,en_riesgo_usado_protegido,MSI PRO Z790-P WIFI Motherboard Intel LGA1700 DDR5 Support PC Build Tested,,,10,208.988,-20.0,,1.0,ebay_usa,ebay_usa
v1|397000156754|0,Dell G16 7630 Gaming Laptop – i7-13650HX | RTX 4060 8GB | 16GB DDR5 | 1TB SSD | | condicion usado: 100% | observaciones: 10,EN_RIESGO,1,1.0,en_riesgo_usado_protegido,Dell G16 7630 Gaming Laptop – i7-13650HX | RTX 4060 8GB | 16GB DDR5 | 1TB SSD |,,,10,990.0,0.0,,1.0,ebay_usa,ebay_usa
v1|377339831053|0,ASUS ROG Strix G17 18in Gaming Laptop Core i7 GeForce RTX 4060 Black w/Charger | condicion usado: 100% | observaciones: 7,EN_RIESGO,1,0.667,en_riesgo_usado_protegido,ASUS ROG Strix G17 18in Gaming Laptop Core i7 GeForce RTX 4060 Black w/Charger,,,7,835.0,0.0,,1.0,ebay_usa,ebay_usa
v1|257137673881|0,Gigabyte AMD X870M AORUS ELITE WiFi7 motherboard AM5 DDR5 Micro ATX M.2 PCIe | observaciones: 6,VIGENTE,0,1.0,vigente,Gigabyte AMD X870M AORUS ELITE WiFi7 motherboard AM5 DDR5 Micro ATX M.2 PCIe,,,6,426.90000000000003,0.0,,0.0,ebay_usa,ebay_usa
v1|147448565273|0,"Corsair RM850x Shift ATX Power Supply, Fully-Modular, Black Brand New | condicion usado: 100% | observaciones: 3",OBSOLETO,2,0.5,obsoleto,"Corsair RM850x Shift ATX Power Supply, Fully-Modular, Black Brand New",,,3,150.0,0.0,,1.0,ebay_usa,ebay_usa
155195693,CPU Ryzen 5 8500g 16gb Ddr5 Ssd 512gb Am5 Msi Asus Gaming | marca: amd | categoria: PROCESADORES | observaciones: 13,VIGENTE,0,1.0,vigente,CPU Ryzen 5 8500g 16gb Ddr5 Ssd 512gb Am5 Msi Asus Gaming,AMD,procesadores,13,1118.1927272727276,0.14,0.0,0.0,falabella_pe,falabella_pe
B0FBLPDFBC,"ASUS Intel Core Ultra Processor Z890 LGA1851 ATX Motherboard PCIe 5.0, DDR5 Support PRO WS Z890-ACE SE | categoria: MOTHERBOARD | observaciones: 3",VIGENTE,0,1.0,vigente,"ASUS Intel Core Ultra Processor Z890 LGA1851 ATX Motherboard PCIe 5.0, DDR5 Support PRO WS Z890-ACE SE",,MOTHERBOARD,3,427.10666666666674,,,0.0,amazon_usa,amazon_usa
v1|800033794622|0,Corsair Vengeance RGB 64GB Kit 2x32GB DDR5 | condicion usado: 100% | observaciones: 9,OBSOLETO,2,0.5,obsoleto,Corsair Vengeance RGB 64GB Kit 2x32GB DDR5,,,9,700.0,0.0,,1.0,ebay_usa,ebay_usa
155252433,"Tarjeta de video ProArt GeForce RTX 5090 OC Edition, 32GB GDDR7, PCIe Gen 5.0 x16 | precio bajando: 14.6% | marca: asus | categoria: TARJETAS_VIDEO | observaciones: 12",VIGENTE,0,1.0,vigente,"Tarjeta de video ProArt GeForce RTX 5090 OC Edition, 32GB GDDR7, PCIe Gen 5.0 x16",ASUS,tarjetas_video,12,6724.947,-14.61,0.0,0.0,falabella_pe,falabella_pe
v1|298521295000|0,MSI MAG X870 TOMAHAWK WIFI AMD DDR5 Wi-Fi 7 AM5 ATX MOTHERBOARD | condicion usado: 100% | observaciones: 3,VIGENTE,0,1.0,vigente_usado_protegido,MSI MAG X870 TOMAHAWK WIFI AMD DDR5 Wi-Fi 7 AM5 ATX MOTHERBOARD,,,3,139.0,0.0,,1.0,ebay_usa,ebay_usa
v1|127906030974|0,ASUS TUF Z790-PLUS WIFI ATX Motherboard [LGA 1700]  [DDR5] | precio bajando: 10.0% | condicion usado: 100% | observaciones: 9,EN_RIESGO,1,0.833,en_riesgo_usado_protegido,ASUS TUF Z790-PLUS WIFI ATX Motherboard [LGA 1700]  [DDR5],,,9,83.66777777777777,-10.0,,1.0,ebay_usa,ebay_usa
126874192,"Laptop Tuf F16 FX608JHR-RV169 16” WUXGA, Core i7-14650HX, Ram 16GB, SSD 1 TB, RTX 5050 8GB | marca: asus | categoria: MOUSE | observaciones: 13",VIGENTE,0,1.0,vigente,"Laptop Tuf F16 FX608JHR-RV169 16” WUXGA, Core i7-14650HX, Ram 16GB, SSD 1 TB, RTX 5050 8GB",ASUS,mouse,13,2318.487272727273,0.14,0.0,0.0,falabella_pe,falabella_pe
v1|377046281559|0,(BROKEN) ASUS ROG STRIX X870-F GAMING WIFI Mother card AM5 DDR5 PCIe 5.0 Black | observaciones: 10,VIGENTE,0,1.0,vigente,(BROKEN) ASUS ROG STRIX X870-F GAMING WIFI Mother card AM5 DDR5 PCIe 5.0 Black,,,10,79.0,0.0,,0.0,ebay_usa,ebay_usa
v1|298426307174|0,GIGABYTE - X870 AORUS ELITE WIFI7 (Socket AM5) AMD X870 ATX DDR5 Wi-Fi 7 | condicion usado: 100% | observaciones: 10,VIGENTE,0,1.0,vigente_usado_protegido,GIGABYTE - X870 AORUS ELITE WIFI7 (Socket AM5) AMD X870 ATX DDR5 Wi-Fi 7,,,10,159.0,0.0,,1.0,ebay_usa,ebay_usa
B0CPB4CKW6,"ASUS TUF Gaming Z790-Plus WiFi LGA 1700(Intel 14th,12th &13th Gen) ATX Motherboard(PCIe 5.0,DDR5,4xM.2 Slots,16+1 DrMOS,WiFi 6,2.5Gb LAN,Front USB 3.2 Gen 2 Type-C,(USB4),Aura RGB) (Renewed) | precio subiendo: 4.3% | categoria: MOTHERBOARD | observaciones: 13",VIGENTE,0,1.0,vigente,"ASUS TUF Gaming Z790-Plus WiFi LGA 1700(Intel 14th,12th &13th Gen) ATX Motherboard(PCIe 5.0,DDR5,4xM.2 Slots,16+1 DrMOS,WiFi 6,2.5Gb LAN,Front USB 3.2 Gen 2 Type-C,(USB4),Aura RGB) (Renewed)",,MOTHERBOARD,13,107.44000000000003,4.34,,0.0,amazon_usa,amazon_usa
v1|389851921837|0,Lightly Used Ryzen 5 7600X3D (W/ original packaging) | condicion usado: 100% | observaciones: 10,EN_RIESGO,1,0.667,en_riesgo_usado_protegido,Lightly Used Ryzen 5 7600X3D (W/ original packaging),,,10,255.0,0.0,,1.0,ebay_usa,ebay_usa
v1|397140337618|0,Gigabyte GeForce RTX 4060 Aero OC 8GB GDDR6 Graphics Card | condicion usado: 100% | observaciones: 10,EN_RIESGO,1,0.667,en_riesgo_usado_protegido,Gigabyte GeForce RTX 4060 Aero OC 8GB GDDR6 Graphics Card,,,10,455.0,0.0,,1.0,ebay_usa,ebay_usa
v1|116992552190|0,Team Group 64GB (2x32GB) 4800 MHz DDR5 4800C40 CL40 | condicion usado: 100% | observaciones: 3,OBSOLETO,2,0.5,obsoleto,Team Group 64GB (2x32GB) 4800 MHz DDR5 4800C40 CL40,,,3,549.99,0.0,,1.0,ebay_usa,ebay_usa
B0G3TWBHYC,"msi PRO Z790-A WiFi II Motherboard, ATX - Supports Intel Core 14th, 13th & 12th Gen Processors, LGA 1700-80A SPS VRM, DDR5 Memory Boost 7800+MT/s/OC, PCIe 5.0 x16, 4 x M.2 Gen4, Wi-Fi 6E, 2.5G LAN | categoria: MOTHERBOARD | observaciones: 3",VIGENTE,0,1.0,vigente,"msi PRO Z790-A WiFi II Motherboard, ATX - Supports Intel Core 14th, 13th & 12th Gen Processors, LGA 1700-80A SPS VRM, DDR5 Memory Boost 7800+MT/s/OC, PCIe 5.0 x16, 4 x M.2 Gen4, Wi-Fi 6E, 2.5G LAN",,MOTHERBOARD,3,91.87333333333333,,,0.0,amazon_usa,amazon_usa
v1|127954149468|0,InWin P85 850W 80+ Gold Fully Modular ATX PSU - P85 | condicion usado: 100% | observaciones: 10,OBSOLETO,2,0.5,obsoleto,InWin P85 850W 80+ Gold Fully Modular ATX PSU - P85,,,10,82.0,0.0,,1.0,ebay_usa,ebay_usa
v1|388954107957|0,Yeston GeForce RTX 4070 12GB GDDR6X Graphics card | precio subiendo: 21.0% | condicion usado: 100% | observaciones: 10,EN_RIESGO,1,0.667,en_riesgo_usado_protegido,Yeston GeForce RTX 4070 12GB GDDR6X Graphics card,,,10,821.905,21.0,,1.0,ebay_usa,ebay_usa
v1|366540886125|0,NVIDIA GeForce RTX 4080 FOUNDERS Edition Graphics Card | precio bajando: 13.2% | condicion usado: 100% | observaciones: 3,EN_RIESGO,1,0.833,en_riesgo_usado_protegido,NVIDIA GeForce RTX 4080 FOUNDERS Edition Graphics Card,,,3,891.6666666666666,-13.16,,1.0,ebay_usa,ebay_usa
147515856,PLACA BOETEC H85 DDR3 LGA 1150 4TA Y 5TA GEN NVME GEN3 | descuento promedio: 6.7% | precio subiendo: 24.6% | marca: intel | categoria: MEMORIAS_RAM | observaciones: 3,OBSOLETO,2,0.667,obsoleto,PLACA BOETEC H85 DDR3 LGA 1150 4TA Y 5TA GEN NVME GEN3,INTEL,memorias_ram,3,96.12,24.56,6.666666666666667,0.0,falabella_pe,falabella_pe
v1|137485974193|0,ASUS ROG STRIX X870-F GAMING WIFI AMD AM5 ATX DDR5 WiFi 7 Motherboard | condicion usado: 100% | observaciones: 10,VIGENTE,0,1.0,vigente_usado_protegido,ASUS ROG STRIX X870-F GAMING WIFI AMD AM5 ATX DDR5 WiFi 7 Motherboard,,,10,229.0,0.0,,1.0,ebay_usa,ebay_usa
v1|117235352378|0,ASRock B650E Taichi AM5 EATX AMD Motherboard | precio bajando: 15.0% | condicion usado: 100% | observaciones: 5,OBSOLETO,2,0.5,obsoleto,ASRock B650E Taichi AM5 EATX AMD Motherboard,,,5,97.0,-15.0,,1.0,ebay_usa,ebay_usa
151810315,Tarjeta de Video Swift AMD Radeon RX9060 XT OC 16GB GDDR6 Blanco PCIe 5.0 3 Fans | marca: xfx | categoria: TARJETAS_VIDEO | observaciones: 13,VIGENTE,0,1.0,vigente,Tarjeta de Video Swift AMD Radeon RX9060 XT OC 16GB GDDR6 Blanco PCIe 5.0 3 Fans,XFX,tarjetas_video,13,882.4909090909091,0.14,0.0,0.0,falabella_pe,falabella_pe
v1|157889540630|0,Lian Li O11 Air Mini glass Edition ATX PC CASE *Rare Microcenter Exclusive* | condicion usado: 100% | observaciones: 10,OBSOLETO,2,0.5,obsoleto,Lian Li O11 Air Mini glass Edition ATX PC CASE *Rare Microcenter Exclusive*,,,10,70.0,0.0,,1.0,ebay_usa,ebay_usa
v1|406879709935|0,Micron DDR4 SO-DIMM 8GB (2x4GB) PC4-2400T Laptop RAM MTA4ATF51264HZ-2G3E2 | condicion usado: 100% | observaciones: 10,EN_RIESGO,1,0.667,en_riesgo_usado_protegido,Micron DDR4 SO-DIMM 8GB (2x4GB) PC4-2400T Laptop RAM MTA4ATF51264HZ-2G3E2,,,10,35.0,0.0,,1.0,ebay_usa,ebay_usa
v1|236934381815|0,"GIGABYTE X870E AORUS ELITE WIFI7 AM5 LGA 1718, ATX, DDR5 | condicion usado: 100% | observaciones: 10",VIGENTE,0,1.0,vigente_usado_protegido,"GIGABYTE X870E AORUS ELITE WIFI7 AM5 LGA 1718, ATX, DDR5",,,10,179.7,0.0,,1.0,ebay_usa,ebay_usa
v1|137431265704|0,Corsair RM850 850W 80 Plus Gold Fully Modular ATX PSU CP-9020196 Cables | condicion usado: 100% | observaciones: 6,OBSOLETO,2,0.5,obsoleto,Corsair RM850 850W 80 Plus Gold Fully Modular ATX PSU CP-9020196 Cables,,,6,81.67,0.0,,1.0,ebay_usa,ebay_usa
10061042,"Placa madre Asrock H610M-HDV/M.2 R2.0, DDR4, M.2, LGA1700 (reempacado) | descuento promedio: 25.0% | marca: asrock | categoria: MOTHERBOARD | observaciones: 8",EN_RIESGO,1,1.0,en_riesgo,"Placa madre Asrock H610M-HDV/M.2 R2.0, DDR4, M.2, LGA1700 (reempacado)",Asrock,MOTHERBOARD,8,94.74125,0.0,25.0,0.0,coolbox_pe,coolbox_pe
144651951,Tarjeta de video GeForce RTX 5070 EAGLE OC SFF 12G PCIe 5.0 | marca: gigabyte | categoria: TARJETAS_VIDEO | observaciones: 13,VIGENTE,0,1.0,vigente,Tarjeta de video GeForce RTX 5070 EAGLE OC SFF 12G PCIe 5.0,GIGABYTE,tarjetas_video,13,1176.751818181818,0.15,0.0,0.0,falabella_pe,falabella_pe
153277721,PC Gamer Pro ULTRA XTREME 7 9700X RAM 32GB DDR5 SSD 1TB GRAFICA ASUS RTX 5070 12GB | marca: ryzen | categoria: PROCESADORES | observaciones: 13,VIGENTE,0,1.0,vigente,PC Gamer Pro ULTRA XTREME 7 9700X RAM 32GB DDR5 SSD 1TB GRAFICA ASUS RTX 5070 12GB,RYZEN,procesadores,13,3089.7481818181814,0.14,0.0,0.0,falabella_pe,falabella_pe
v1|117289668998|0,HP EliteBook X Flip G1i/ Core Ultra 7 268V/Intel Arc 140V/32 GB LPDDR5/1 TB SSD | condicion usado: 100% | observaciones: 7,VIGENTE,0,1.0,vigente_usado_protegido,HP EliteBook X Flip G1i/ Core Ultra 7 268V/Intel Arc 140V/32 GB LPDDR5/1 TB SSD,,,7,1300.0,0.0,,1.0,ebay_usa,ebay_usa
v1|147422387152|0,"GIGABYTE X870 Eagle WIFI7 AMD AM5 LGA 1718 Motherboard, ATX, DDR5 | condicion usado: 100% | observaciones: 10",VIGENTE,0,1.0,vigente_usado_protegido,"GIGABYTE X870 Eagle WIFI7 AMD AM5 LGA 1718 Motherboard, ATX, DDR5",,,10,124.95,0.0,,1.0,ebay_usa,ebay_usa
v1|336402346126|0,AMD AsRock Radeon RX 9070 XT Taichi 16GB OC PCIE 5.0 2160P Gaming Graphics Card | observaciones: 10,VIGENTE,0,1.0,vigente,AMD AsRock Radeon RX 9070 XT Taichi 16GB OC PCIE 5.0 2160P Gaming Graphics Card,,,10,1269.0,0.0,,0.0,ebay_usa,ebay_usa
v1|178184405531|0,Lot Of 2 Micron DDR4 16GB Each(2 x 16GB = 32GB) PC4 DDR4 2133MHz RAM Green/SML/B | precio bajando: 10.0% | condicion usado: 100% | observaciones: 10,EN_RIESGO,1,0.833,en_riesgo_usado_protegido,Lot Of 2 Micron DDR4 16GB Each(2 x 16GB = 32GB) PC4 DDR4 2133MHz RAM Green/SML/B,,,10,108.64000000000001,-10.0,,1.0,ebay_usa,ebay_usa
v1|287282059956|0,MSI MPG Z790 Edge Wifi Intel LGA 1700 DDR5 ATX Motherboard | precio bajando: 10.0% | condicion usado: 100% | observaciones: 10,EN_RIESGO,1,0.833,en_riesgo_usado_protegido,MSI MPG Z790 Edge Wifi Intel LGA 1700 DDR5 ATX Motherboard,,,10,142.45499999999998,-10.0,,1.0,ebay_usa,ebay_usa
v1|398067802508|0,*1 G.SKILL Ripjaws V 8GB DDR4-2666 8GX2 F4-2666C15D-8GVR FREE SHIPPING* | condicion usado: 100% | observaciones: 3,EN_RIESGO,1,0.667,en_riesgo_usado_protegido,*1 G.SKILL Ripjaws V 8GB DDR4-2666 8GX2 F4-2666C15D-8GVR FREE SHIPPING*,,,3,38.25,0.0,,1.0,ebay_usa,ebay_usa
v1|389817711034|0,ADATA 8GB DDR4 PC4-2400T Desktop RAM Module 1.2V | condicion usado: 100% | observaciones: 10,EN_RIESGO,1,0.667,en_riesgo_usado_protegido,ADATA 8GB DDR4 PC4-2400T Desktop RAM Module 1.2V,,,10,24.990000000000002,0.0,,1.0,ebay_usa,ebay_usa
