texto,label,label_id,confianza,title,brand,category,source,price_usd,sku,vector_idx
Tarjeta de video Dual GeForce RTX 5060 8GB GDDR7 PCI Express Gen 5.0 | marca: asus | categoria: TARJETAS_VIDEO | fuente: falabella_pe,VIGENTE,0,1.0,Tarjeta de video Dual GeForce RTX 5060 8GB GDDR7 PCI Express Gen 5.0,ASUS,tarjetas_video,falabella_pe,,155200955,12
"ASUS TUF Gaming GeForce RTX 4080 OC Edition Graphics Card (PCIe 4.0, 16GB GDDR6X | fuente: ebay_usa | precio: 957.0 USD",EN_RIESGO,1,0.667,"ASUS TUF Gaming GeForce RTX 4080 OC Edition Graphics Card (PCIe 4.0, 16GB GDDR6X",,,ebay_usa,957.0,v1|327250408809|0,13
EVGA SuperNOVA 850 G3 850W 80+ Gold Fully Modular ATX Power Supply PSU (USED) | fuente: ebay_usa | precio: 50.0 USD,OBSOLETO,2,0.333,EVGA SuperNOVA 850 G3 850W 80+ Gold Fully Modular ATX Power Supply PSU (USED),,,ebay_usa,49.99,,14
"Computadora Enovu Ryzen 9 9950X 32GB 2TB SSD 32"" RTX 5090 32GB Windows 11 Pro | marca: amd | categoria: PROCESADORES | fuente: falabella_pe | precio: 11958.5 USD",VIGENTE,0,1.0,"Computadora Enovu Ryzen 9 9950X 32GB 2TB SSD 32"" RTX 5090 32GB Windows 11 Pro",AMD,procesadores,falabella_pe,11958.5,152190007,15
TARJETA DE VIDEO RADEON RX 6500 XT EAGLE 4GB GDDR6 64-BIT PCIE 4.0 DUAL FAN PN GV-R65XTEAGLE-4GD | marca: gigabyte | categoria: TARJETAS_VIDEO | fuente: falabella_pe | precio: 390.9 USD,EN_RIESGO,1,0.667,TARJETA DE VIDEO RADEON RX 6500 XT EAGLE 4GB GDDR6 64-BIT PCIE 4.0 DUAL FAN PN GV-R65XTEAGLE-4GD,GIGABYTE,tarjetas_video,falabella_pe,390.94,152448349,16
GIGABYTE X870E AORUS Master AMD AM5 LGA 1718 Motherboard ATX DDR5 4XM.2 PCIe 5.0 | fuente: ebay_usa | precio: 474.9 USD,VIGENTE,0,1.0,GIGABYTE X870E AORUS Master AMD AM5 LGA 1718 Motherboard ATX DDR5 4XM.2 PCIe 5.0,,,ebay_usa,474.92,v1|398159157582|0,17
Nanya 8GB DDR3 RAM (2×4GB) – Tested Working | fuente: ebay_usa | precio: 20.0 USD,OBSOLETO,2,0.333,Nanya 8GB DDR3 RAM (2×4GB) – Tested Working,,,ebay_usa,20.0,,18
Computadora PC Gamer Core I7 + Ram 16GB + DISCO SSD 1TB + Video RX 580 8GB + MONITOR 27 | marca: intel | categoria: GPU | fuente: falabella,OBSOLETO,2,0.333,Computadora PC Gamer Core I7 + Ram 16GB + DISCO SSD 1TB + Video RX 580 8GB + MONITOR 27,INTEL,GPU,falabella,,,19
"Tarjeta de video PRIME-RTX5070-O12G , 12 GB GDDR7, PCIe Gen 5.0 | marca: asus | categoria: TARJETAS_VIDEO | fuente: falabella_pe | precio: 1190.8 USD",VIGENTE,0,1.0,"Tarjeta de video PRIME-RTX5070-O12G , 12 GB GDDR7, PCIe Gen 5.0",ASUS,tarjetas_video,falabella_pe,1190.83,154327273,20
PC Gamer Pro ULTRA XTREME 7 9700X RAM 32GB DDR5 SSD 1TB GRAFICA ASUS RTX 5070 12GB | marca: ryzen | categoria: PROCESADORES | fuente: falabella_pe | precio: 3090.5 USD,VIGENTE,0,1.0,PC Gamer Pro ULTRA XTREME 7 9700X RAM 32GB DDR5 SSD 1TB GRAFICA ASUS RTX 5070 12GB,RYZEN,procesadores,falabella_pe,3090.51,153277721,21
"Tarjeta de video Dual GeForce RTX 5060 8GB GDDR7, PCI Express Gen 5.0 | marca: asus | categoria: TARJETAS_VIDEO | fuente: falabella_pe | precio: 1171.5 USD",VIGENTE,0,1.0,"Tarjeta de video Dual GeForce RTX 5060 8GB GDDR7, PCI Express Gen 5.0",ASUS,tarjetas_video,falabella_pe,1171.45,155252533,22
Corsair Vengeance CMZ8GX3M2A1600C9 DDR3 PC3-12800u (4) x 4GB = 16GB Desktop RAM | fuente: ebay_usa | precio: 30.0 USD,OBSOLETO,2,0.667,Corsair Vengeance CMZ8GX3M2A1600C9 DDR3 PC3-12800u (4) x 4GB = 16GB Desktop RAM,,,ebay_usa,29.99,v1|127831476599|0,23
Disco Solido SSD NV3 1TB NVME PCIe 4.0 6000Mb/s | marca: kingston | categoria: DISCOS_SSD | fuente: falabella_pe,EN_RIESGO,1,0.667,Disco Solido SSD NV3 1TB NVME PCIe 4.0 6000Mb/s,KINGSTON,discos_ssd,falabella_pe,,140972977,24
Memoria TG Elite SODIMM DDR3 4GB DDR3-1600 MHz | marca: teamgroup | categoria: MEMORIAS_RAM | fuente: falabella_pe,OBSOLETO,2,0.333,Memoria TG Elite SODIMM DDR3 4GB DDR3-1600 MHz,TEAMGROUP,memorias_ram,falabella_pe,,141162537,25
Intel Core i7-2670QM Computer CPU Processor Server i7 2670QM Socket G2 / rPGA988B SR02N | categoria: CPU | fuente: aliexpress | precio: 21.7 USD,OBSOLETO,2,0.333,Intel Core i7-2670QM Computer CPU Processor Server i7 2670QM Socket G2 / rPGA988B SR02N,,CPU,aliexpress,21.73,3256809838517155,26
Procesador Ryzen 5 5500 3.6GHz AM4 | marca: amd | categoria: PROCESADORES | fuente: falabella_pe | precio: 205.9 USD,EN_RIESGO,1,0.667,Procesador Ryzen 5 5500 3.6GHz AM4,AMD,procesadores,falabella_pe,205.9,153095586,27
"Tarjeta de video GeForce RTX 5070 GAMING OC 12G, 12 GB GDDR7, PCIe Gen 5.0 | marca: gigabyte | categoria: TARJETAS_VIDEO | fuente: falabella_pe | precio: 1415.6 USD",VIGENTE,0,1.0,"Tarjeta de video GeForce RTX 5070 GAMING OC 12G, 12 GB GDDR7, PCIe Gen 5.0",GIGABYTE,tarjetas_video,falabella_pe,1415.63,155000915,28
PCCOOLER AIO CPU Cooler - 3 Pack F5 R120 Case Fans - 2.4 Inch IPS LCD Screen 360mm Liquid Cooler Compatible with AM4 AM5 Intel LGA 1700/1851/20XX CPS Water Cooling(DS360 Display BK) | categoria: COOLER | fuente: amazon_usa | precio: 76.0 USD,EN_RIESGO,1,0.667,PCCOOLER AIO CPU Cooler - 3 Pack F5 R120 Case Fans - 2.4 Inch IPS LCD Screen 360mm Liquid Cooler Compatible with AM4 AM5 Intel LGA 1700/1851/20XX CPS Water Cooling(DS360 Display BK),,COOLER,amazon_usa,75.99,B0F6L84VNS,29
Motherboard Fit for MSI PRO B760M-P Motherboard LGA 1700 Support I9-14900KS I7-14700KF I5-12400F CPU DDR4 4800MHz 128GB HDMI VGA M.2 PCle 4.0 MATX | categoria: MOTHERBOARD | fuente: amazon_usa | precio: 141.0 USD,EN_RIESGO,1,1.0,Motherboard Fit for MSI PRO B760M-P Motherboard LGA 1700 Support I9-14900KS I7-14700KF I5-12400F CPU DDR4 4800MHz 128GB HDMI VGA M.2 PCle 4.0 MATX,,MOTHERBOARD,amazon_usa,141.02,B0H13QCVJR,30
"SANDISK 500GB Optimus 5100 NVMe SSD - PCIe 4.0 x4, M.2 2280, Up to 6,600 MB/s Read Speed - SDSP51500GAN | categoria: SSD | fuente: amazon_usa | precio: 100.0 USD",EN_RIESGO,1,0.667,"SANDISK 500GB Optimus 5100 NVMe SSD - PCIe 4.0 x4, M.2 2280, Up to 6,600 MB/s Read Speed - SDSP51500GAN",,SSD,amazon_usa,99.99,B0GJSFFLXZ,31
"GIGABYTE X870 AORUS ELITE WIFI7 ICE AM5 LGA 1718, ATX, DDR5, 4x M.2, PCIe 5.0, | fuente: ebay_usa | precio: 283.2 USD",VIGENTE,0,1.0,"GIGABYTE X870 AORUS ELITE WIFI7 ICE AM5 LGA 1718, ATX, DDR5, 4x M.2, PCIe 5.0,",,,ebay_usa,283.19,v1|336130961309|0,32
Computadora PC Mini Intel Core i7-6700T 3.60GHz 16GB RAM 256GB SSD 500GB HDD WiFi | marca: hp | categoria: COMPUTADORAS | fuente: falabella_pe,OBSOLETO,2,0.333,Computadora PC Mini Intel Core i7-6700T 3.60GHz 16GB RAM 256GB SSD 500GB HDD WiFi,HP,computadoras,falabella_pe,,139030683,33
"Computadora Enovu Ryzen 7 8700F 16GB 512GB SSD 27"" RTX 5050 8GB Windows 11 Pro | marca: amd | categoria: PROCESADORES | fuente: falabella_pe | precio: 2787.1 USD",VIGENTE,0,1.0,"Computadora Enovu Ryzen 7 8700F 16GB 512GB SSD 27"" RTX 5050 8GB Windows 11 Pro",AMD,procesadores,falabella_pe,2787.05,152189967,34
"GIGABYTE X870E AORUS PRO AM5 LGA 1718, ATX, DDR5, 4x M.2, PCIe 5.0, USB4, Wi-Fi | fuente: ebay_usa | precio: 392.0 USD",VIGENTE,0,1.0,"GIGABYTE X870E AORUS PRO AM5 LGA 1718, ATX, DDR5, 4x M.2, PCIe 5.0, USB4, Wi-Fi",,,ebay_usa,391.99,v1|296722931654|0,35
LOT Samsung 16GB 8GB 4GB 2GB 1GB 2RX8 DDR4/DDR3/DDR2 Desktop Memory RAM 240PIN $ | fuente: ebay_usa | precio: 21.0 USD,OBSOLETO,2,0.667,LOT Samsung 16GB 8GB 4GB 2GB 1GB 2RX8 DDR4/DDR3/DDR2 Desktop Memory RAM 240PIN $,,,ebay_usa,20.99,v1|254219753793|553607618438,36
"PNY GeForce RTX 5080 Triple Fan Graphics Card, 16GB GDDR7, 30 Gbps, 256-bit, 1801 AI TOPS, DLSS 4, AI Content Creation, Local LLM Inference, PCIe 5.0, DP 2.1b UHBR20 x3, HDMI 2.1b, with GPU Holder | categoria: GPU | fuente: amazon_usa | precio: 1300.0 USD",VIGENTE,0,1.0,"PNY GeForce RTX 5080 Triple Fan Graphics Card, 16GB GDDR7, 30 Gbps, 256-bit, 1801 AI TOPS, DLSS 4, AI Content Creation, Local LLM Inference, PCIe 5.0, DP 2.1b UHBR20 x3, HDMI 2.1b, with GPU Holder",,GPU,amazon_usa,1299.99,B0GK8NJ4RW,37
"Geforce Rtx 5070 - Tarjeta Gráfica Pcie 5.0 - Gddr6, Displayport Y Hdmi, Rendimiento | marca: asus | categoria: TARJETAS_VIDEO | fuente: falabella_pe | precio: 1810.9 USD",VIGENTE,0,1.0,"Geforce Rtx 5070 - Tarjeta Gráfica Pcie 5.0 - Gddr6, Displayport Y Hdmi, Rendimiento",ASUS,tarjetas_video,falabella_pe,1810.91,152452903,38
"Thermalright Frozen Vision 240 White-Liquid CPU Water Cooler, with 2 PWM Fans,2.88-inch Square Image IPS LCD Display for 480x480 Pixels,Computer CPU Water Cooler for AM4/AM5,Intel lga1700/115X/1851 | categoria: COOLER | fuente: amazon_usa | precio: 80.9 USD",EN_RIESGO,1,0.667,"Thermalright Frozen Vision 240 White-Liquid CPU Water Cooler, with 2 PWM Fans,2.88-inch Square Image IPS LCD Display for 480x480 Pixels,Computer CPU Water Cooler for AM4/AM5,Intel lga1700/115X/1851",,COOLER,amazon_usa,80.9,B0D1KN79NN,39
Tarjeta De Video Geforce Rtx 5050 8 Gb Gddr6 Pcie 5.0 | marca: msi | categoria: TARJETAS_VIDEO | fuente: falabella_pe | precio: 806.7 USD,VIGENTE,0,1.0,Tarjeta De Video Geforce Rtx 5050 8 Gb Gddr6 Pcie 5.0,Msi,tarjetas_video,falabella_pe,806.7,151847634,40
"Tarjeta de video TUF-RTX5080-O16G-GAMING, 16GB GDDR7, PCIe Gen 5.0 | marca: asus | categoria: TARJETAS_VIDEO | fuente: falabella_pe | precio: 2680.7 USD",VIGENTE,0,1.0,"Tarjeta de video TUF-RTX5080-O16G-GAMING, 16GB GDDR7, PCIe Gen 5.0",ASUS,tarjetas_video,falabella_pe,2680.69,154329363,41
"Lenovo Legion Pro 7i Gen 10 16"" Gaming Laptop  Intel Core Ultra 9 RTX 5080 | fuente: ebay_usa | precio: 3395.0 USD",VIGENTE,0,1.0,"Lenovo Legion Pro 7i Gen 10 16"" Gaming Laptop  Intel Core Ultra 9 RTX 5080",,,ebay_usa,3395.0,v1|117134497063|0,42
"Tarjeta de video GeForce RTX 5060 Ti AERO OC 8G, 8GB GDDR7, PCIe Gen 5.0 | marca: gigabyte | categoria: TARJETAS_VIDEO | fuente: falabella_pe",VIGENTE,0,1.0,"Tarjeta de video GeForce RTX 5060 Ti AERO OC 8G, 8GB GDDR7, PCIe Gen 5.0",GIGABYTE,tarjetas_video,falabella_pe,,152118334,43
"ASUS FX507VV-WS74 TUF Gaming 15.6"" FHD i7-13620H 2.4GHz NVIDIA GeForce RTX 4060 | fuente: ebay_usa | precio: 999.0 USD",EN_RIESGO,1,0.667,"ASUS FX507VV-WS74 TUF Gaming 15.6"" FHD i7-13620H 2.4GHz NVIDIA GeForce RTX 4060",,,ebay_usa,999.0,v1|377333704523|0,44
GIGABYTE G5 KF5 15.6in Gaming Laptop i7-12650H 16GB RTX 4060 477GB SSD | fuente: ebay_usa | precio: 700.0 USD,EN_RIESGO,1,0.667,GIGABYTE G5 KF5 15.6in Gaming Laptop i7-12650H 16GB RTX 4060 477GB SSD,,,ebay_usa,700.0,v1|397949260006|0,45
PLACA BOETEC H85 DDR3 LGA 1150 4TA Y 5TA GEN NVME GEN3 | marca: intel | categoria: MEMORIAS_RAM | fuente: falabella_pe | precio: 102.8 USD,OBSOLETO,2,0.667,PLACA BOETEC H85 DDR3 LGA 1150 4TA Y 5TA GEN NVME GEN3,INTEL,memorias_ram,falabella_pe,102.84,147515856,46
Pc Gamer AMD 7 8700F 16GB DDR5 500GB 24 RTX5060 8GB Mipclista WHITE COMPUTADORA | marca: ryzen | categoria: PROCESADORES | fuente: falabella_pe | precio: 2740.6 USD,VIGENTE,0,1.0,Pc Gamer AMD 7 8700F 16GB DDR5 500GB 24 RTX5060 8GB Mipclista WHITE COMPUTADORA,RYZEN,procesadores,falabella_pe,2740.56,148518993,47
Intel Core i5 7500T 2.7GHz Quad-Core LGA 1151 cpu processor | categoria: CPU | fuente: aliexpress | precio: 27.2 USD,OBSOLETO,2,0.333,Intel Core i5 7500T 2.7GHz Quad-Core LGA 1151 cpu processor,,CPU,aliexpress,27.2,3256805434942373,48
"HP Omen 16.1"" 16t-wf100 Gaming Laptop  i7-14700HX 32GB 1TB SSD RTX 4060 | fuente: ebay_usa | precio: 1000.0 USD",EN_RIESGO,1,0.667,"HP Omen 16.1"" 16t-wf100 Gaming Laptop  i7-14700HX 32GB 1TB SSD RTX 4060",,,ebay_usa,999.99,v1|257602965068|0,49
SAMSUNG 990 PRO 2TB PCIe 4.0 NVMe M.2 SSD High Speed Tested | fuente: ebay_usa | precio: 483.7 USD,EN_RIESGO,1,0.667,SAMSUNG 990 PRO 2TB PCIe 4.0 NVMe M.2 SSD High Speed Tested,,,ebay_usa,483.68,,50
Intel Xeon E5 2699 V3 Used E5 2699V3 CPU processor 2.3Ghz 18-Core LGA 2011-3 | categoria: CPU | fuente: aliexpress | precio: 30.0 USD,OBSOLETO,2,0.667,Intel Xeon E5 2699 V3 Used E5 2699V3 CPU processor 2.3Ghz 18-Core LGA 2011-3,,CPU,aliexpress,29.99,3256808061786814,51
"Z890 Gaming Plus WIFI6E Motherboard, ATX-Supports Intel Core Ultra Processors (Series 2), LGA 1851 - DDR5 Memory Boost (Up to 9200+MT/s OC), 1 x PCIe 5.0 x16, 1 x M.2 Gen5, Intel Killer 5G LAN, Wi-Fi | categoria: MOTHERBOARD | fuente: amazon_usa | precio: 200.0 USD",VIGENTE,0,1.0,"Z890 Gaming Plus WIFI6E Motherboard, ATX-Supports Intel Core Ultra Processors (Series 2), LGA 1851 - DDR5 Memory Boost (Up to 9200+MT/s OC), 1 x PCIe 5.0 x16, 1 x M.2 Gen5, Intel Killer 5G LAN, Wi-Fi",,MOTHERBOARD,amazon_usa,199.99,B0H1JNLST2,52
Mini PC ThinkCentre M73 Tiny - Core i3-4130T 8GB RAM 320GB 10 Pro Reacondicionado | marca: lenovo | categoria: COMPUTADORAS | fuente: falabella_pe | precio: 293.8 USD,OBSOLETO,2,0.667,Mini PC ThinkCentre M73 Tiny - Core i3-4130T 8GB RAM 320GB 10 Pro Reacondicionado,LENOVO,computadoras,falabella_pe,293.82,153982632,53
"Tarjeta de video GeForce RTX 5050 GAMING OC 8G, 8 GB GDDR6, PCIe Gen 5.0 | marca: gigabyte | categoria: TARJETAS_VIDEO | fuente: falabella_pe | precio: 537.3 USD",VIGENTE,0,1.0,"Tarjeta de video GeForce RTX 5050 GAMING OC 8G, 8 GB GDDR6, PCIe Gen 5.0",GIGABYTE,tarjetas_video,falabella_pe,537.31,152004679,54
TARJETA DE VIDEO INNO3D GEFORCE 210 1GB DDR3 PCIE P-N N21A-5SDV-D3BX | marca: general | categoria: TARJETAS_VIDEO | fuente: falabella_pe,OBSOLETO,2,0.333,TARJETA DE VIDEO INNO3D GEFORCE 210 1GB DDR3 PCIE P-N N21A-5SDV-D3BX,GENERAL,tarjetas_video,falabella_pe,,152148723,55
FOR ASROCK Z790 PG Lightning/D4 DDR4*4 128GB LGA1700 ATX Motherboard Test OK | fuente: ebay_usa | precio: 285.0 USD,EN_RIESGO,1,0.667,FOR ASROCK Z790 PG Lightning/D4 DDR4*4 128GB LGA1700 ATX Motherboard Test OK,,,ebay_usa,285.0,,56
"Tarjeta de video GeForce RTX 5060 8G SHADOW 2X OC, 8 GB GDDR7, PCIe 5.0 | marca: msi | categoria: TARJETAS_VIDEO | fuente: falabella_pe",VIGENTE,0,1.0,"Tarjeta de video GeForce RTX 5060 8G SHADOW 2X OC, 8 GB GDDR7, PCIe 5.0",Msi,tarjetas_video,falabella_pe,,152004737,57
PROCESADOR CORE I7-8700K 8 GEN 3.70 GHZ 12 MB P-NBX80684I78700K | marca: intel | categoria: CPU | fuente: falabella,OBSOLETO,2,0.333,PROCESADOR CORE I7-8700K 8 GEN 3.70 GHZ 12 MB P-NBX80684I78700K,INTEL,CPU,falabella,,,58
MSI Z790 Motherboard LGA 1700 Socket Supports Intel Core 14th/13th/12th Gen Processors i5-12400F CPU DDR5 HDMI M.2 NVME ATX | categoria: CPU | fuente: aliexpress | precio: 287.5 USD,EN_RIESGO,1,1.0,MSI Z790 Motherboard LGA 1700 Socket Supports Intel Core 14th/13th/12th Gen Processors i5-12400F CPU DDR5 HDMI M.2 NVME ATX,,CPU,aliexpress,287.53,3256808544559836,59
GIGABYTE X870E AORUS PRO AM5 LGA 1718 ATX DDR5 4x M.2 PCIe 5.0 USB4 Wi-Fi 7 | fuente: ebay_usa | precio: 189.0 USD,VIGENTE,0,1.0,GIGABYTE X870E AORUS PRO AM5 LGA 1718 ATX DDR5 4x M.2 PCIe 5.0 USB4 Wi-Fi 7,,,ebay_usa,189.0,v1|298423101922|0,60
"Tarjeta de video DUAL-RTX5070-O12G, 12GB GDDR7, PCIe Gen 5.0 | marca: asus | categoria: TARJETAS_VIDEO | fuente: falabella_pe",VIGENTE,0,1.0,"Tarjeta de video DUAL-RTX5070-O12G, 12GB GDDR7, PCIe Gen 5.0",ASUS,tarjetas_video,falabella_pe,,153727074,61
"Computadora Enovu Core Ultra 5 225F 16GB 512GB SSD 24.5"" RTX 5050 8GB Windows 11 Pro | marca: intel | categoria: COMPUTADORAS | fuente: falabella_pe | precio: 2651.7 USD",VIGENTE,0,1.0,"Computadora Enovu Core Ultra 5 225F 16GB 512GB SSD 24.5"" RTX 5050 8GB Windows 11 Pro",INTEL,computadoras,falabella_pe,2651.66,151124591,62
Geforce Rtx 5070 Ti 8Gb Gddr7 - Gráfica Pcie 5.0 Con Displayport Y Hdmi | marca: gigabyte | categoria: TARJETAS_VIDEO | fuente: falabella_pe | precio: 2926.0 USD,VIGENTE,0,1.0,Geforce Rtx 5070 Ti 8Gb Gddr7 - Gráfica Pcie 5.0 Con Displayport Y Hdmi,GIGABYTE,tarjetas_video,falabella_pe,2925.96,154798944,63
"Tarjeta de video DUAL-RTX5070-O12G, 12GB GDDR7, PCIe Gen 5.0 | marca: asus | categoria: TARJETAS_VIDEO | fuente: falabella_pe | precio: 1119.2 USD",VIGENTE,0,1.0,"Tarjeta de video DUAL-RTX5070-O12G, 12GB GDDR7, PCIe Gen 5.0",ASUS,tarjetas_video,falabella_pe,1119.23,154327333,64
"KingSpec 1TB M.2 NVMe Gen3 SSD, 3500MB/s Read - PCIe 3.0 Internal Solid State Drive for Laptop, Desktop & Soccer Season Gaming, 3D NAND Flash | categoria: SSD | fuente: amazon_usa | precio: 140.0 USD",EN_RIESGO,1,0.667,"KingSpec 1TB M.2 NVMe Gen3 SSD, 3500MB/s Read - PCIe 3.0 Internal Solid State Drive for Laptop, Desktop & Soccer Season Gaming, 3D NAND Flash",,SSD,amazon_usa,139.97,B0H2H4B1GX,65
"Thermalright Frozen Notte 240 White ARGB V2 Water Cooling CPU Cooler,240 White CPU Cooler Specifications, Double PWM Fans,S-FDB Bearings, Suitable for AMD/AM4 AM5, Intel LGA 1700/1150/1151/1200/2011 | categoria: COOLER | fuente: amazon_usa | precio: 42.6 USD",EN_RIESGO,1,0.667,"Thermalright Frozen Notte 240 White ARGB V2 Water Cooling CPU Cooler,240 White CPU Cooler Specifications, Double PWM Fans,S-FDB Bearings, Suitable for AMD/AM4 AM5, Intel LGA 1700/1150/1151/1200/2011",,COOLER,amazon_usa,42.65,B0BLJHWVS3,66
"Alienware Gaming Laptop – i7-14650HX, RTX 4060, 32GB RAM, 1TB SSD – Lightly Used | fuente: ebay_usa | precio: 1600.0 USD",EN_RIESGO,1,0.667,"Alienware Gaming Laptop – i7-14650HX, RTX 4060, 32GB RAM, 1TB SSD – Lightly Used",,,ebay_usa,1600.0,,67
"ASUS ROG Strix G16 Gaming Laptop, 16” RTX 4060, i7-13650HX, 16GB RAM, 512GB SSD | fuente: ebay_usa | precio: 900.0 USD",EN_RIESGO,1,0.667,"ASUS ROG Strix G16 Gaming Laptop, 16” RTX 4060, i7-13650HX, 16GB RAM, 512GB SSD",,,ebay_usa,899.99,v1|267726095121|0,68
"GIGABYTE X870E AORUS ELITE WIFI7 AM5 LGA 1718, ATX, DDR5, 4x M.2, PCIe 5.0 | fuente: ebay_usa | precio: 361.7 USD",VIGENTE,0,1.0,"GIGABYTE X870E AORUS ELITE WIFI7 AM5 LGA 1718, ATX, DDR5, 4x M.2, PCIe 5.0",,,ebay_usa,361.67,v1|397981223784|0,69
"Procesador Core I3-12100F, 3.30/4.30Ghz, 12Mb Caché, Lga1700, Alto Rendimiento Para | marca: intel | categoria: PROCESADORES | fuente: falabella_pe",EN_RIESGO,1,0.667,"Procesador Core I3-12100F, 3.30/4.30Ghz, 12Mb Caché, Lga1700, Alto Rendimiento Para",INTEL,procesadores,falabella_pe,,151971401,70
