texto,label,label_id,confianza,decision_src,keywords_match,producto,marca,categoria,fuente,precio_usd,sku,vector_idx,label_pred,p_vigente,p_en_riesgo,p_obsoleto,r_j
"Placa madre Advance MoDT ITX con Procesador (incorporado) Intel Core i7-13620H, Wi-Fi HDMIx2/DP/VGA | marca: Advance | categoria: MOTHERBOARD | fuente: coolbox_pe | precio: 359.73 USD",EN_RIESGO,1,1.0,lexical,i7-13,"Placa madre Advance MoDT ITX con Procesador (incorporado) Intel Core i7-13620H, Wi-Fi HDMIx2/DP/VGA",Advance,MOTHERBOARD,coolbox_pe,359.73,10054481,35,EN_RIESGO,0.0008,0.9984,0.0008,0.5
"Fuente de poder Teros TE-7160 600W, 80 Plus Bronze | marca: Teros | categoria: PSU | fuente: coolbox_pe | precio: 47.73 USD",VIGENTE,0,0.4,default,,"Fuente de poder Teros TE-7160 600W, 80 Plus Bronze",Teros,PSU,coolbox_pe,47.73,10042120,36,VIGENTE,0.9982,0.0011,0.0007,0.0013
"Fuente de poder Teros TE-7175W 750W, 80 Plus Gold, F. modular | marca: Teros | categoria: PSU | fuente: coolbox_pe | precio: 74.4 USD",VIGENTE,0,0.4,default,,"Fuente de poder Teros TE-7175W 750W, 80 Plus Gold, F. modular",Teros,PSU,coolbox_pe,74.4,10042119,37,VIGENTE,0.9981,0.0011,0.0008,0.0013
"Fuente de poder Antryx Kirin 850 GOLD, 850W, 80 Plus Gold, modular | marca: Antryx | categoria: PSU | fuente: coolbox_pe | precio: 146.4 USD",VIGENTE,0,0.4,default,,"Fuente de poder Antryx Kirin 850 GOLD, 850W, 80 Plus Gold, modular",Antryx,PSU,coolbox_pe,146.4,11746,38,VIGENTE,0.998,0.0012,0.0008,0.0014
"Fuente de poder Seasonic A12, 600W, 80 Plus, blanco | marca: Seasonic | categoria: PSU | fuente: coolbox_pe | precio: 85.07 USD",VIGENTE,0,0.4,default,,"Fuente de poder Seasonic A12, 600W, 80 Plus, blanco",Seasonic,PSU,coolbox_pe,85.07,11750,39,VIGENTE,0.998,0.0012,0.0008,0.0014
Fuente de poder Seasonic Vertex GX-1200W 80Plus Gold Modular PCIE5.0 | marca: Seasonic | categoria: PSU | fuente: coolbox_pe | precio: 373.07 USD,VIGENTE,0,0.4,default,,Fuente de poder Seasonic Vertex GX-1200W 80Plus Gold Modular PCIE5.0,Seasonic,PSU,coolbox_pe,373.07,10041907,40,VIGENTE,0.9983,0.0009,0.0008,0.0013
"Fuente de poder Antryx Kirin 750 GOLD, 750W, 80 Plus Gold, modular | marca: Antryx | categoria: PSU | fuente: coolbox_pe | precio: 125.07 USD",VIGENTE,0,0.4,default,,"Fuente de poder Antryx Kirin 750 GOLD, 750W, 80 Plus Gold, modular",Antryx,PSU,coolbox_pe,125.07,11745,41,VIGENTE,0.9978,0.0014,0.0008,0.0015
"Fuente de poder Antryx Kirin Gold Evo II 1000W, 80 Plus Gold, modular ATV3.0, Pcie 5.0 | marca: Antryx | categoria: PSU | fuente: coolbox_pe | precio: 199.73 USD",VIGENTE,0,1.0,lexical,pcie 5.0,"Fuente de poder Antryx Kirin Gold Evo II 1000W, 80 Plus Gold, modular ATV3.0, Pcie 5.0",Antryx,PSU,coolbox_pe,199.73,10047321,42,VIGENTE,0.9983,0.0009,0.0008,0.0012
"Fuente de poder Antryx Kirin 850 GOLD, 850W, 80 Plus Gold, modular (reempacado) | marca: Antryx | categoria: PSU | fuente: coolbox_pe | precio: 109.79 USD | descuento: 2500%",EN_RIESGO,1,0.72,numeric,,"Fuente de poder Antryx Kirin 850 GOLD, 850W, 80 Plus Gold, modular (reempacado)",Antryx,PSU,coolbox_pe,109.79,10067164,43,EN_RIESGO,0.0011,0.9981,0.0008,0.4999
Fuente de poder Seasonic Focus GX-1000W 80 Plus Gold Modular PCIE5.0 | marca: Seasonic | categoria: PSU | fuente: coolbox_pe | precio: 293.07 USD,VIGENTE,0,0.4,default,,Fuente de poder Seasonic Focus GX-1000W 80 Plus Gold Modular PCIE5.0,Seasonic,PSU,coolbox_pe,293.07,10041904,44,VIGENTE,0.9983,0.0009,0.0009,0.0013
"Fuente de poder Seasonic A12 500W, 80 Plus White | marca: Antryx | categoria: PSU | fuente: coolbox_pe | precio: 66.4 USD",VIGENTE,0,0.4,default,,"Fuente de poder Seasonic A12 500W, 80 Plus White",Antryx,PSU,coolbox_pe,66.4,10047323,45,VIGENTE,0.9981,0.0011,0.0008,0.0014
"Fuente de poder Seasonic A12 500W, 80 Plus White (reempacado) | marca: Antryx | categoria: PSU | fuente: coolbox_pe | precio: 49.79 USD | descuento: 2500%",EN_RIESGO,1,0.72,numeric,,"Fuente de poder Seasonic A12 500W, 80 Plus White (reempacado)",Antryx,PSU,coolbox_pe,49.79,10067161,46,EN_RIESGO,0.0008,0.9983,0.0008,0.5
"Fuente de poder Antryx Kirin Gold Evo II 1200W, 80 Plus Gold, modular ATV3.0, Pcie 5.0 | marca: Antryx | categoria: PSU | fuente: coolbox_pe | precio: 239.73 USD",VIGENTE,0,1.0,lexical,pcie 5.0,"Fuente de poder Antryx Kirin Gold Evo II 1200W, 80 Plus Gold, modular ATV3.0, Pcie 5.0",Antryx,PSU,coolbox_pe,239.73,10047322,47,VIGENTE,0.9983,0.0008,0.0009,0.0013
"Sistema de enfriamiento líquido Triton Infinity 240, negro | marca: Antryx | categoria: COOLER | fuente: coolbox_pe | precio: 114.4 USD",VIGENTE,0,0.4,default,,"Sistema de enfriamiento líquido Triton Infinity 240, negro",Antryx,COOLER,coolbox_pe,114.4,10041876,48,VIGENTE,0.9983,0.0008,0.0008,0.0013
"Cooler para CPU Be Quiet! Dark Rock Slim BK024, LGA1700, AM5 | marca: Be Quiet | categoria: COOLER | fuente: coolbox_pe | precio: 79.73 USD | descuento: 2310%",EN_RIESGO,1,0.71,consensus,lga1700,"Cooler para CPU Be Quiet! Dark Rock Slim BK024, LGA1700, AM5",Be Quiet,COOLER,coolbox_pe,79.73,27467,49,EN_RIESGO,0.0009,0.9983,0.0008,0.4999
"Cooler procesador Antryx Mirage Infinity black, ARGB | marca: Antryx | categoria: COOLER | fuente: coolbox_pe | precio: 42.4 USD",VIGENTE,0,0.4,default,,"Cooler procesador Antryx Mirage Infinity black, ARGB",Antryx,COOLER,coolbox_pe,42.4,10051027,50,VIGENTE,0.9982,0.0008,0.001,0.0014
Cooler para procesador Antryx Mirage 410 ARGB | marca: Antryx | categoria: COOLER | fuente: coolbox_pe | precio: 31.73 USD,VIGENTE,0,0.4,default,,Cooler para procesador Antryx Mirage 410 ARGB,Antryx,COOLER,coolbox_pe,31.73,10047333,51,VIGENTE,0.9983,0.0008,0.0009,0.0013
"Sistema de enfriamiento líquido Triton Infinity 360, negro | marca: Antryx | categoria: COOLER | fuente: coolbox_pe | precio: 146.4 USD",VIGENTE,0,0.4,default,,"Sistema de enfriamiento líquido Triton Infinity 360, negro",Antryx,COOLER,coolbox_pe,146.4,10041877,52,VIGENTE,0.9983,0.001,0.0007,0.0012
"Reacondicionado: Cooler para procesador Antryx Mirage 410 ARGB, Intel/Amd | marca: Antryx | categoria: COOLER | fuente: coolbox_pe | precio: 17.2 USD | descuento: 5000%",EN_RIESGO,1,0.72,numeric,,"Reacondicionado: Cooler para procesador Antryx Mirage 410 ARGB, Intel/Amd",Antryx,COOLER,coolbox_pe,17.2,10067158,53,EN_RIESGO,0.0008,0.9984,0.0008,0.5
"Cooler procesador Antryx Mirage 530, ARGB, fan 130mm | marca: Antryx | categoria: COOLER | fuente: coolbox_pe | precio: 66.4 USD",VIGENTE,0,0.4,default,,"Cooler procesador Antryx Mirage 530, ARGB, fan 130mm",Antryx,COOLER,coolbox_pe,66.4,10051025,54,VIGENTE,0.9983,0.001,0.0007,0.0012
"Sistema de refrigeración líquida MSI MPG Coreliquid K360, 360mm, 3-FAN, pantalla LCD 2.4"" | marca: Msi | categoria: COOLER | fuente: coolbox_pe | precio: 426.4 USD",VIGENTE,0,0.4,default,,"Sistema de refrigeración líquida MSI MPG Coreliquid K360, 360mm, 3-FAN, pantalla LCD 2.4""",Msi,COOLER,coolbox_pe,426.4,6682,55,VIGENTE,0.9983,0.0009,0.0009,0.0013
"Cooler procesador Antryx Mirage 550 Plus, ARGB, fan 130mm x2 | marca: Antryx | categoria: COOLER | fuente: coolbox_pe | precio: 69.07 USD",VIGENTE,0,0.4,default,,"Cooler procesador Antryx Mirage 550 Plus, ARGB, fan 130mm x2",Antryx,COOLER,coolbox_pe,69.07,10051026,56,VIGENTE,0.9983,0.001,0.0007,0.0012
"Sistema de refrigeración líquida MSI MPG Coreliquid K240, ARGB, 240 mm, 2 FAN, pantalla LCD 2.4"" | marca: Msi | categoria: COOLER | fuente: coolbox_pe | precio: 266.4 USD",VIGENTE,0,0.4,default,,"Sistema de refrigeración líquida MSI MPG Coreliquid K240, ARGB, 240 mm, 2 FAN, pantalla LCD 2.4""",Msi,COOLER,coolbox_pe,266.4,6681,57,VIGENTE,0.9983,0.0008,0.0009,0.0013
"Cooler procesador Antryx Mirage Infinity white, ARGB | marca: Antryx | categoria: COOLER | fuente: coolbox_pe | precio: 71.73 USD",VIGENTE,0,0.4,default,,"Cooler procesador Antryx Mirage Infinity white, ARGB",Antryx,COOLER,coolbox_pe,71.73,10051028,58,VIGENTE,0.9982,0.0011,0.0007,0.0013
"Cooler procesador Antryx Mirage 310N, fan 92mm | marca: Antryx | categoria: COOLER | fuente: coolbox_pe | precio: 61.07 USD",VIGENTE,0,0.4,default,,"Cooler procesador Antryx Mirage 310N, fan 92mm",Antryx,COOLER,coolbox_pe,61.07,10051023,59,VIGENTE,0.9983,0.001,0.0007,0.0012
"Gabinete Antryx RX-250, USB3.0, FRGB FAN X4, panel lateral de vidrio templado | marca: Antryx | categoria: CASE | fuente: coolbox_pe | precio: 53.07 USD",VIGENTE,0,0.4,default,,"Gabinete Antryx RX-250, USB3.0, FRGB FAN X4, panel lateral de vidrio templado",Antryx,CASE,coolbox_pe,53.07,10051005,60,VIGENTE,0.9983,0.0009,0.0008,0.0013
"Gabinete Antryx RX-260 BLACK, USB3.0, FRGB FAN X4, panel lateral de vidrio templado | marca: Antryx | categoria: CASE | fuente: coolbox_pe | precio: 58.4 USD",VIGENTE,0,0.4,default,,"Gabinete Antryx RX-260 BLACK, USB3.0, FRGB FAN X4, panel lateral de vidrio templado",Antryx,CASE,coolbox_pe,58.4,10051006,61,VIGENTE,0.9983,0.0009,0.0009,0.0013
"Gabinete Antryx RX-270, USB3.0, FRGB FAN X4, panel lateral de vidrio templado | marca: Antryx | categoria: CASE | fuente: coolbox_pe | precio: 53.07 USD",VIGENTE,0,0.4,default,,"Gabinete Antryx RX-270, USB3.0, FRGB FAN X4, panel lateral de vidrio templado",Antryx,CASE,coolbox_pe,53.07,10051008,62,VIGENTE,0.9984,0.0009,0.0007,0.0012
"Gabinete Cooler Master HAF 700 EVO ARGB, Mini-ITX / Micro-ATX /ATX/SSI CEB/SSI EEB/E-ATX, Panel lateral vidrio templado, sin fuente, negro | marca: Cooler Master | categoria: CASE | fuente: coolbox_pe | precio: 533.07 USD",VIGENTE,0,0.4,default,,"Gabinete Cooler Master HAF 700 EVO ARGB, Mini-ITX / Micro-ATX /ATX/SSI CEB/SSI EEB/E-ATX, Panel lateral vidrio templado, sin fuente, negro",Cooler Master,CASE,coolbox_pe,533.07,10041872,63,VIGENTE,0.9983,0.0009,0.0007,0.0012
"Gabinete Antryx XM-330 Xtreme, ITX/Micro ATX, Panel lateral vidrio templado, con fuente 500W | marca: Antryx | categoria: CASE | fuente: coolbox_pe | precio: 79.73 USD",VIGENTE,0,0.4,default,,"Gabinete Antryx XM-330 Xtreme, ITX/Micro ATX, Panel lateral vidrio templado, con fuente 500W",Antryx,CASE,coolbox_pe,79.73,10041874,64,VIGENTE,0.9984,0.0009,0.0007,0.0012
"Gabinete Antryx FX730 ARGB, ATX/M-ATX/ITX, 4 ventiladores, Panel lateral vidrio templado, sin fuente, blanco | marca: Antryx | categoria: CASE | fuente: coolbox_pe | precio: 106.4 USD",VIGENTE,0,0.4,default,,"Gabinete Antryx FX730 ARGB, ATX/M-ATX/ITX, 4 ventiladores, Panel lateral vidrio templado, sin fuente, blanco",Antryx,CASE,coolbox_pe,106.4,10041869,65,VIGENTE,0.9984,0.0009,0.0008,0.0012
"Gabinete Antryx Elegant 650 Black, incluye USB 3.0, panel frontal con malla metálica, con fuente 350w | marca: Antryx | categoria: CASE | fuente: coolbox_pe | precio: 53.07 USD",VIGENTE,0,0.4,default,,"Gabinete Antryx Elegant 650 Black, incluye USB 3.0, panel frontal con malla metálica, con fuente 350w",Antryx,CASE,coolbox_pe,53.07,10047313,66,VIGENTE,0.9983,0.0009,0.0007,0.0012
